# Comment census at dffbcd0 — the opening measurement of the comment pass.
#
# Produced by `weld_lint census`, whose figures were confronted with an
# independently written probe and agree on every quantity: 330 files, 127176
# code lines, 50970 comment lines, 29925 doc lines, 13096 blocks.
#
# Columns, tab-separated:
#   code  comment  doc  blocks  density  path
#
# A line is a COMMENT line when its first non-whitespace bytes are `//`, a CODE
# line when it is non-blank and not a comment line; blank lines are in neither,
# and `density` is comment / (comment + code) in percent. A BLOCK is a maximal
# run of consecutive comment lines — the unit of judgement.
#
# This file is the `before` half of the per-file report. Nothing in it is a
# threshold, a target or a gate.
221	264	174	45	54.43	src/modules/forge/forge_3d/pipeline/narrowphase/shapecast.zig
256	318	239	55	55.40	src/modules/forge/forge_3d/shape.zig
9	16	16	7	64.00	src/modules/forge/forge_3d/config.zig
123	200	180	41	61.92	src/modules/forge/forge_3d/body.zig
57	60	44	9	51.28	src/modules/forge/forge_3d/determinism.zig
512	119	6	57	18.86	src/modules/forge/forge_3d/tests/body_manager_test.zig
372	168	49	35	31.11	src/modules/forge/forge_3d/tests/epa_robustness_test.zig
774	210	33	77	21.34	src/modules/forge/forge_3d/tests/sleep_test.zig
652	298	125	73	31.37	src/modules/forge/forge_3d/tests/fast_paths_test.zig
761	251	88	81	24.80	src/modules/forge/forge_3d/tests/solver_test.zig
710	373	52	119	34.44	src/modules/forge/forge_3d/tests/shapecast_test.zig
166	105	73	26	38.75	src/modules/forge/forge_3d/tests/determinism/witness.zig
586	616	167	90	51.25	src/modules/forge/forge_3d/tests/determinism/scenario.zig
185	123	45	29	39.94	src/modules/forge/forge_3d/tests/determinism/run.zig
197	200	103	35	50.38	src/modules/forge/forge_3d/tests/determinism/trace.zig
903	552	38	163	37.94	src/modules/forge/forge_3d/tests/plane_test.zig
413	116	38	44	21.93	src/modules/forge/forge_3d/tests/island_test.zig
588	190	14	80	24.42	src/modules/forge/forge_3d/tests/manifold_test.zig
1156	567	64	159	32.91	src/modules/forge/forge_3d/tests/raycast_test.zig
527	220	29	100	29.45	src/modules/forge/forge_3d/tests/gjk_test.zig
2550	1365	80	369	34.87	src/modules/forge/forge_3d/tests/character_test.zig
1537	440	48	155	22.26	src/modules/forge/forge_3d/tests/broadphase_test.zig
151	40	8	21	20.94	src/modules/forge/forge_3d/tests/epa_test.zig
2879	1398	140	352	32.69	src/modules/forge/forge_3d/tests/mesh_test.zig
534	112	17	49	17.34	src/modules/forge/forge_3d/tests/integration_test.zig
627	307	26	82	32.87	src/modules/forge/forge_3d/tests/world_test.zig
566	250	24	87	30.64	src/modules/forge/forge_3d/tests/overlap_test.zig
834	248	30	90	22.92	src/modules/forge/forge_3d/tests/sensor_test.zig
273	215	194	34	44.06	src/modules/forge/forge_3d/rigid/solver.zig
33	83	80	12	71.55	src/modules/forge/forge_3d/rigid/solver_config.zig
104	69	65	23	39.88	src/modules/forge/forge_3d/rigid/contact_cache.zig
589	455	350	94	43.58	src/modules/forge/forge_3d/rigid/contact_constraint.zig
255	203	173	44	44.32	src/modules/forge/forge_3d/rigid/island_manager.zig
46	52	52	35	53.06	src/modules/forge/forge_3d/rigid/root.zig
446	557	492	89	55.53	src/modules/forge/forge_3d/world.zig
1302	1295	824	183	49.87	src/modules/forge/forge_3d/body_manager.zig
486	474	398	84	49.38	src/modules/forge/forge_3d/mesh.zig
97	91	23	10	48.40	src/modules/forge/forge_3d/determinism_main.zig
139	215	169	94	60.73	src/modules/forge/forge_3d/root.zig
192	110	66	30	36.42	src/modules/forge/forge_3d/query/overlap.zig
60	33	23	12	35.48	src/modules/forge/forge_3d/query/cast.zig
114	58	36	15	33.72	src/modules/forge/forge_3d/query/ray.zig
305	364	291	64	54.41	src/modules/forge/forge_3d/query/root.zig
866	1079	685	190	55.48	src/modules/forge/forge_3d/character.zig
66	41	41	12	38.32	src/modules/forge/forge_3d/slot_alloc.zig
321	393	331	39	55.04	src/modules/forge/sync.zig
275	243	160	23	46.91	src/modules/forge/services/physics.zig
304	290	240	32	48.82	src/modules/forge/module.zig
254	65	58	16	20.38	src/editor/vk_blit.zig
176	77	28	22	30.43	src/editor/main.zig
295	303	131	40	50.67	src/interfaces/PhysicsModule.zig
124	19	16	3	13.29	tools/scene_cook/main.zig
122	22	18	3	15.28	tools/shader_compiler/main.zig
83	22	17	3	20.95	tools/etch_cook/main.zig
14	29	25	3	67.44	tools/weld_lint/tests.zig
799	856	280	65	51.72	tools/weld_lint/dead_tests.zig
248	72	38	12	22.50	tools/weld_lint/main.zig
30	12	12	3	28.57	tools/weld_lint/diagnostic.zig
119	26	22	7	17.93	tools/weld_lint/scan.zig
164	29	22	9	15.03	tools/weld_lint/rules/conventional_commit.zig
68	39	33	7	36.45	tools/weld_lint/rules/no_device_dispatch_outside_gal.zig
65	48	47	4	42.48	tools/weld_lint/rules/doc_comments.zig
340	205	141	46	37.61	tools/weld_lint/rules/no_precision_crossing.zig
41	21	21	2	33.87	tools/weld_lint/rules/c_module_isolation.zig
26	14	14	2	35.00	tools/weld_lint/rules/no_cimport.zig
25	17	17	2	40.48	tools/weld_lint/rules/no_usingnamespace.zig
135	79	64	13	36.92	tools/weld_lint/rules/no_float_reduce.zig
254	154	103	28	37.75	tools/asm_inventory/main.zig
32	53	50	5	62.35	tools/asm_inventory/forge_3d_surface.zig
115	21	18	5	15.44	tools/asset_cook/main.zig
101	36	25	8	26.28	tools/bindgen/detch_main.zig
7	8	8	1	53.33	tools/bindgen/tests.zig
96	69	67	27	41.82	tools/bindgen/core/api_description.zig
35	27	23	4	43.55	tools/bindgen/core/validator.zig
27	20	18	5	42.55	tools/bindgen/core/resolver.zig
36	30	27	4	45.45	tools/bindgen/core/emitter.zig
49	37	31	10	43.02	tools/bindgen/services.zig
48	21	19	2	30.43	tools/bindgen/main.zig
97	15	12	3	13.39	tools/bindgen/adapters/wayland_xml.zig
109	29	21	9	21.01	tools/bindgen/adapters/vk_xml.zig
624	111	63	38	15.10	tools/bindgen/adapters/wayland_xml/emit.zig
361	41	38	16	10.20	tools/bindgen/adapters/wayland_xml/parser.zig
1258	253	85	126	16.74	tools/bindgen/adapters/vk_xml/emit.zig
1093	224	128	109	17.01	tools/bindgen/adapters/vk_xml/parser.zig
110	61	45	13	35.67	tools/bindgen/emit_detch.zig
187	23	14	7	10.95	tools/etch_synth/main.zig
113	22	17	7	16.30	tools/etch_test/main.zig
153	23	14	9	13.07	bench/forge_narrowphase.zig
254	30	25	7	10.56	bench/etch_parse.zig
206	54	40	14	20.77	bench/forge_3d_sensor.zig
399	81	42	20	16.88	bench/etch_compile.zig
276	22	17	7	7.38	bench/etch_interp.zig
134	17	17	1	11.26	bench/render_instancing.zig
722	264	164	48	26.77	bench/ecs_hybrid_crossover.zig
331	119	86	35	26.44	bench/physics_forge_3d_integration.zig
169	35	11	6	17.16	bench/ipc_rtt.zig
244	46	28	11	15.86	bench/forge_3d_mesh.zig
1	5	5	2	83.33	bench/fixture_facade.zig
818	166	72	42	16.87	bench/ecs_benchmark.zig
280	76	39	24	21.35	bench/forge_3d_character.zig
393	82	39	16	17.26	bench/forge_3d_raycast.zig
357	74	30	16	17.17	bench/forge_3d_shapecast.zig
50	27	16	4	35.06	bench/fixtures/synth_100/build.zig
105	17	17	3	13.93	bench/scene_load_bench.zig
347	75	41	18	17.77	bench/ecs_election.zig
151	29	20	6	16.11	bench/asset_cache.zig
census: 330 file(s), code 127176, comment 50970 (doc 29925), blocks 13096, density 28.61%
